id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-102018113920-A1,Identifikationsprotokoll durch Einsatz von geheimen unbekannten Chriffren ,Fraunhofer-Gesellschaft zur F?rderung der angewandten Forschung e.V.,Adi Wael,2017/6/10,2018/6/11,2018/12/27,,https://patents.google.com/patent/DE102018113920A1/de,https://patentimages.storage.googleapis.com/7a/b8/3a/323ca1300bac7e/DE102018113920A1_0027.png
DE-112018000194-T5,eLWA/LWIP-MASSNAHMEN BEI WLAN-VERBINDUNGSTRENNUNG ,Intel IP Corporation,"Shadi Iskander, Jerome Parron, Penny Efraim-Sagi, Umesh Phuyal, Candy Yiu, Ofer Hareuveni, Alexander Sirotkin, Karim E. MORSY",2017/1/27,2018/1/25,2019/10/2,,https://patents.google.com/patent/DE112018000194T5/de,https://patentimages.storage.googleapis.com/56/e0/6f/b4d658790416c1/DE112018000194T5_0011.png
DE-112017004181-T5,MULTI-CARRIER QCL (QUASI-Kolokation) F?R ANTENNENPORTS IN NR (NEW RADIO) ,Intel Corporation,Alexei Davydov,2016/10/19,2017/9/27,2019/5/9,,https://patents.google.com/patent/DE112017004181T5/de,https://patentimages.storage.googleapis.com/f5/de/c0/d6895c92d4c8d8/DE112017004181T5_0001.png
DE-112017007989-T5,Anwendungspriorit?tsbasierte energieverwaltung f?r eine computervorrichtung ,Intel Corporation,"Efraim Rotem, Eliezer Weissmann, Doron Rajwan, Yoni Aizik, Esfir Natanzon, Nir Rosenzweig, Nadav Shulman, Bart Plackle",2017/8/22,2017/8/22,2020/6/10,,https://patents.google.com/patent/DE112017007989T5/de,https://patentimages.storage.googleapis.com/cb/db/dd/3c7d5ea45d5f04/DE112017007989T5_0001.png
DE-112018005448-T5,Halbleitervorrichtung ,Sony Semiconductor Solutions Corporation,"Kousuke Seki, Yusaku Kato, Shusaku Yanagawa",2017/9/25,2018/9/11,2020/7/30,,https://patents.google.com/patent/DE112018005448T5/de,https://patentimages.storage.googleapis.com/00/b2/cf/25d0539ec9adf5/DE112018005448T5_0001.png
DE-102017006013-A1,System zum Fern?berwachen und Kennzeichnen einer Druckgasflaschenanordnung ,Messer Group Gmbh,Marc Dierckx,2017/6/24,2017/6/24,2018/12/27,,https://patents.google.com/patent/DE102017006013A1/de,https://patentimages.storage.googleapis.com/44/6f/b9/23bb6ba16245e8/DE102017006013A1_0001.png
DE-102016007832-A1,Effizientes Authentifizieren ,Giesecke+Devrient Mobile Security Gmbh,"Ullrich Martini, Stephan Spitz",2016/6/27,2016/6/27,2017/12/28,,https://patents.google.com/patent/DE102016007832A1/de,https://patentimages.storage.googleapis.com/97/38/f6/52d4456fe00309/DE102016007832A1_0002.png
DE-102016124618-A1,Verfahren zum pr?fen einer r?umlichen n?he eines ersten objekts zu einem zweiten objekt und datenverarbeitungsanlagen ,"Bayerische Motoren Werke Aktiengesellschaft, Deutsche Telekom Ag","Thomas Gehrsitz, Sebastian ZIMMERMANN, Dominik Schnieders",2016/12/16,2016/12/16,2018/6/21,,https://patents.google.com/patent/DE102016124618A1/de,https://patentimages.storage.googleapis.com/1e/7e/19/039ef187899d21/DE102016124618A1_0001.png
DE-102018101307-A1,Techniken f?r SGX-Enklaven-Fernauthentifizierung ,Intel Corporation,"Andrea Miele, Karla Saur, James Held, Mic Bowman",2017/2/22,2018/1/22,2018/8/23,,https://patents.google.com/patent/DE102018101307A1/de,https://patentimages.storage.googleapis.com/47/2d/13/c0a64f947711ec/DE102018101307A1_0001.png
DE-102017202966-A1,Konzept zum Kommunizieren zwischen einem Stellplatzbelegungssensor und einem Netzwerkserver ,Robert Bosch Gmbh,"Stefan Nordbruch, Manuel Carrara",2017/2/23,2017/2/23,2018/8/23,,https://patents.google.com/patent/DE102017202966A1/de,https://patentimages.storage.googleapis.com/d6/94/2b/ee619b80833036/DE102017202966A1_0001.png
